sep=;
ACCELEROMETER X (m/s²);ACCELEROMETER Y (m/s²);ACCELEROMETER Z (m/s²);Time since start in ms ;YYYY-MO-DD HH-MI-SS_SSS
0.7248;-9.4409;0.5638;1556;2014-12-10 14:47:22:220
0.7009;-9.5678;0.0204;1607;2014-12-10 14:47:22:271
0.0712;-10.5973;0.0874;1656;2014-12-10 14:47:22:320
0.8589;-9.022;-0.2981;1706;2014-12-10 14:47:22:370
0.1191;-10.492;2.5774;1756;2014-12-10 14:47:22:420
2.0656;-8.1074;-1.9956;1806;2014-12-10 14:47:22:470
1.886;-9.3045;1.5646;1856;2014-12-10 14:47:22:520
-1.4443;-10.2143;4.8949;1906;2014-12-10 14:47:22:570
-0.4651;-8.9884;3.2382;1957;2014-12-10 14:47:22:621
-0.5776;-3.6206;7.9547;2006;2014-12-10 14:47:22:670
-0.0198;-6.259;1.081;2056;2014-12-10 14:47:22:720
2.9108;-5.7946;1.907;2107;2014-12-10 14:47:22:771
-2.8282;-1.3126;-0.1305;2156;2014-12-10 14:47:22:820
2.5061;-3.7164;0.3867;2206;2014-12-10 14:47:22:870
5.7096;-6.7307;3.0131;2256;2014-12-10 14:47:22:920
6.605;-11.4736;6.9587;2306;2014-12-10 14:47:22:970
1.5892;-10.4106;4.6962;2356;2014-12-10 14:47:23:020
-1.8465;-6.0364;-3.65;2406;2014-12-10 14:47:23:070
19.584;-19.5181;-15.7407;2458;2014-12-10 14:47:23:122
-2.2631;-1.1738;1.1528;2507;2014-12-10 14:47:23:171
6.4422;-0.7356;-2.5534;2556;2014-12-10 14:47:23:220
2.5277;-13.3171;-0.4226;2607;2014-12-10 14:47:23:271
8.6568;-6.6972;-4.148;2656;2014-12-10 14:47:23:320
9.4038;-7.5519;-8.5724;2707;2014-12-10 14:47:23:371
5.8748;-6.3452;-5.266;2756;2014-12-10 14:47:23:420
7.8548;-3.9079;1.6221;2807;2014-12-10 14:47:23:471
15.0709;-8.4521;-5.3355;2856;2014-12-10 14:47:23:520
10.8858;-1.339;-10.3394;2906;2014-12-10 14:47:23:570
12.3056;3.8253;-6.523;2956;2014-12-10 14:47:23:620
0.7033;1.7974;-4.8447;3006;2014-12-10 14:47:23:670
10.3807;1.6562;-11.1247;3056;2014-12-10 14:47:23:720
6.7822;0.5812;-8.0026;3107;2014-12-10 14:47:23:771
8.7957;-3.0077;-5.2325;3156;2014-12-10 14:47:23:820
7.9984;-3.0963;-2.7426;3206;2014-12-10 14:47:23:870
8.257;-2.9957;-3.8319;3256;2014-12-10 14:47:23:920
8.1995;-3.896;-4.2725;3307;2014-12-10 14:47:23:971
8.5419;-3.4028;-3.2717;3356;2014-12-10 14:47:24:020
8.2594;-3.8026;-3.1735;3406;2014-12-10 14:47:24:070
9.0519;-4.1354;-3.4848;3456;2014-12-10 14:47:24:120
8.5946;-4.6358;-1.33;3506;2014-12-10 14:47:24:170
8.3528;-3.3381;-1.5455;3556;2014-12-10 14:47:24:220
7.2467;-2.2823;-0.9756;3606;2014-12-10 14:47:24:270
8.4533;-0.908;-4.6124;3656;2014-12-10 14:47:24:320
9.0327;-2.5217;-5.5821;3706;2014-12-10 14:47:24:370
9.8898;-3.9415;-5.6491;3756;2014-12-10 14:47:24:420
8.2714;-3.8696;-2.2757;3806;2014-12-10 14:47:24:470
7.9721;-3.805;-2.6348;3856;2014-12-10 14:47:24:520
8.9777;-3.7715;-3.3627;3906;2014-12-10 14:47:24:570
8.5012;-3.6518;-2.6468;3956;2014-12-10 14:47:24:620
8.4797;-3.4842;-2.7737;4006;2014-12-10 14:47:24:670
8.5683;-3.6422;-2.9963;4056;2014-12-10 14:47:24:720
8.597;-3.5799;-2.8072;4107;2014-12-10 14:47:24:771
8.6018;-3.6925;-3.0035;4156;2014-12-10 14:47:24:820
9.0543;-3.8577;-2.4241;4206;2014-12-10 14:47:24:870
8.4797;-3.647;-2.8958;4257;2014-12-10 14:47:24:921
